"","Condition","Task_Relevant_Context","PC","Congruency","N","ER","std","se"
"1","Object","100% Con","0%","inc",45,4.16666666666667,4.90599766931387,0.731342952402756
"2","Object","100% Con","100%","con",45,0.694444444444444,1.53864363724166,0.229367451067992
"3","Object","100% Con","50%","con",45,0.740740740740741,1.83971189126808,0.274248056526009
"4","Object","100% Con","50%","inc",45,4.81481481481482,5.47286952024568,0.815847218617066
"5","Object","0% Con","0%","inc",45,3.84259259259259,4.04548094860172,0.603064693516918
"6","Object","0% Con","100%","con",45,2.68518518518518,3.86253243950652,0.575792340002311
"7","Object","0% Con","50%","con",45,0.555555555555556,1.43239927281735,0.213529476329391
"8","Object","0% Con","50%","inc",45,4.16666666666667,6.82344073282266,1.0171784879355
"9","Social","100% Con","0%","inc",43,5.86240310077519,5.047226821232,0.769694874382257
"10","Social","100% Con","100%","con",43,0.62984496124031,1.32815242509268,0.202541346010415
"11","Social","100% Con","50%","con",43,0.387596899224806,1.22459416138408,0.186748858848727
"12","Social","100% Con","50%","inc",43,6.78294573643411,6.80555084713678,1.03783677451421
"13","Social","0% Con","0%","inc",43,5.76550387596899,6.0112674135587,0.916709686454676
"14","Social","0% Con","100%","con",43,1.84108527131783,3.09039377988921,0.471280633197878
"15","Social","0% Con","50%","con",43,0.775193798449613,3.31041400744701,0.504833403344697
"16","Social","0% Con","50%","inc",43,4.74806201550388,5.93320091846886,0.904804657562598
"17","Social/Non-Repeating","100% Con","0%","inc",43,5.03875968992248,4.85896830903204,0.74098572041882
"18","Social/Non-Repeating","100% Con","100%","con",43,0.484496124031008,1.09837780426889,0.167501044836071
"19","Social/Non-Repeating","100% Con","50%","con",43,0.193798449612403,0.887844301318527,0.135394986629026
"20","Social/Non-Repeating","100% Con","50%","inc",43,5.71705426356589,6.92596285626795,1.05619943375759
"21","Social/Non-Repeating","0% Con","0%","inc",43,4.55426356589147,5.24798032835134,0.800309497207213
"22","Social/Non-Repeating","0% Con","100%","con",43,2.03488372093023,2.59127252643621,0.395165355623678
"23","Social/Non-Repeating","0% Con","50%","con",43,0.872093023255814,2.32846351492717,0.355087357098025
"24","Social/Non-Repeating","0% Con","50%","inc",43,4.26356589147287,5.26170056177391,0.802401813188784
