"","Subject","Exp","order","subBlock","countProp","trialCongruency","vjoutRT"
"1","1","E1","B1 100","B1","100% Con","con",471.416666666667
"2","1","E1","B1 100","B1","100% Con","inc",584.8
"3","1","E1","B1 100","B1","0% Con","con",556.181818181818
"4","1","E1","B1 100","B1","0% Con","inc",670.333333333333
"5","1","E1","B1 100","B2","100% Con","con",508.272727272727
"6","1","E1","B1 100","B2","100% Con","inc",617.818181818182
"7","1","E1","B1 100","B2","0% Con","con",506.75
"8","1","E1","B1 100","B2","0% Con","inc",556.545454545455
"9","2","E1","B1 0","B1","100% Con","con",575.909090909091
"10","2","E1","B1 0","B1","100% Con","inc",621
"11","2","E1","B1 0","B1","0% Con","con",654.333333333333
"12","2","E1","B1 0","B1","0% Con","inc",712.727272727273
"13","2","E1","B1 0","B2","100% Con","con",511.916666666667
"14","2","E1","B1 0","B2","100% Con","inc",562.5
"15","2","E1","B1 0","B2","0% Con","con",596.5
"16","2","E1","B1 0","B2","0% Con","inc",630
"17","3","E1","B1 0","B1","100% Con","con",379.636363636364
"18","3","E1","B1 0","B1","100% Con","inc",411.916666666667
"19","3","E1","B1 0","B1","0% Con","con",389.727272727273
"20","3","E1","B1 0","B1","0% Con","inc",409
"21","3","E1","B1 0","B2","100% Con","con",365.583333333333
"22","3","E1","B1 0","B2","100% Con","inc",405.416666666667
"23","3","E1","B1 0","B2","0% Con","con",363.909090909091
"24","3","E1","B1 0","B2","0% Con","inc",407.111111111111
"25","4","E1","B1 100","B1","100% Con","con",473.818181818182
"26","4","E1","B1 100","B1","100% Con","inc",630.3
"27","4","E1","B1 100","B1","0% Con","con",442.75
"28","4","E1","B1 100","B1","0% Con","inc",527.333333333333
"29","4","E1","B1 100","B2","100% Con","con",432.090909090909
"30","4","E1","B1 100","B2","100% Con","inc",595.888888888889
"31","4","E1","B1 100","B2","0% Con","con",490.75
"32","4","E1","B1 100","B2","0% Con","inc",532.1
"33","5","E1","B1 0","B1","100% Con","con",656.545454545455
"34","5","E1","B1 0","B1","100% Con","inc",829.727272727273
"35","5","E1","B1 0","B1","0% Con","con",662.636363636364
"36","5","E1","B1 0","B1","0% Con","inc",783.090909090909
"37","5","E1","B1 0","B2","100% Con","con",620.454545454545
"38","5","E1","B1 0","B2","100% Con","inc",709.083333333333
"39","5","E1","B1 0","B2","0% Con","con",650.727272727273
"40","5","E1","B1 0","B2","0% Con","inc",648.909090909091
"41","6","E1","B1 100","B1","100% Con","con",517.545454545455
"42","6","E1","B1 100","B1","100% Con","inc",619.916666666667
"43","6","E1","B1 100","B1","0% Con","con",494.75
"44","6","E1","B1 100","B1","0% Con","inc",602.636363636364
"45","6","E1","B1 100","B2","100% Con","con",507.727272727273
"46","6","E1","B1 100","B2","100% Con","inc",637.9
"47","6","E1","B1 100","B2","0% Con","con",499.916666666667
"48","6","E1","B1 100","B2","0% Con","inc",624
"49","7","E1","B1 100","B1","100% Con","con",515.083333333333
"50","7","E1","B1 100","B1","100% Con","inc",570.181818181818
"51","7","E1","B1 100","B1","0% Con","con",715.333333333333
"52","7","E1","B1 100","B1","0% Con","inc",852.181818181818
"53","7","E1","B1 100","B2","100% Con","con",656.416666666667
"54","7","E1","B1 100","B2","100% Con","inc",665
"55","7","E1","B1 100","B2","0% Con","con",499.272727272727
"56","7","E1","B1 100","B2","0% Con","inc",782.818181818182
"57","8","E1","B1 100","B1","100% Con","con",591.833333333333
"58","8","E1","B1 100","B1","100% Con","inc",680.2
"59","8","E1","B1 100","B1","0% Con","con",561.181818181818
"60","8","E1","B1 100","B1","0% Con","inc",891.090909090909
"61","8","E1","B1 100","B2","100% Con","con",537.222222222222
"62","8","E1","B1 100","B2","100% Con","inc",594
"63","8","E1","B1 100","B2","0% Con","con",616.636363636364
"64","8","E1","B1 100","B2","0% Con","inc",601.454545454545
"65","9","E1","B1 0","B1","100% Con","con",479.818181818182
"66","9","E1","B1 0","B1","100% Con","inc",543.727272727273
"67","9","E1","B1 0","B1","0% Con","con",470.545454545455
"68","9","E1","B1 0","B1","0% Con","inc",510.916666666667
"69","9","E1","B1 0","B2","100% Con","con",420.909090909091
"70","9","E1","B1 0","B2","100% Con","inc",510.5
"71","9","E1","B1 0","B2","0% Con","con",482.416666666667
"72","9","E1","B1 0","B2","0% Con","inc",517.9
"73","10","E1","B1 0","B1","100% Con","con",551.7
"74","10","E1","B1 0","B1","100% Con","inc",682.666666666667
"75","10","E1","B1 0","B1","0% Con","con",551.181818181818
"76","10","E1","B1 0","B1","0% Con","inc",615.818181818182
"77","10","E1","B1 0","B2","100% Con","con",507.818181818182
"78","10","E1","B1 0","B2","100% Con","inc",688.888888888889
"79","10","E1","B1 0","B2","0% Con","con",543.4
"80","10","E1","B1 0","B2","0% Con","inc",743.363636363636
"81","11","E1","B1 0","B1","100% Con","con",499.272727272727
"82","11","E1","B1 0","B1","100% Con","inc",589
"83","11","E1","B1 0","B1","0% Con","con",574.636363636364
"84","11","E1","B1 0","B1","0% Con","inc",563.1
"85","11","E1","B1 0","B2","100% Con","con",450.333333333333
"86","11","E1","B1 0","B2","100% Con","inc",547.090909090909
"87","11","E1","B1 0","B2","0% Con","con",510.166666666667
"88","11","E1","B1 0","B2","0% Con","inc",536.272727272727
"89","12","E1","B1 0","B1","100% Con","con",633.833333333333
"90","12","E1","B1 0","B1","100% Con","inc",785.916666666667
"91","12","E1","B1 0","B1","0% Con","con",646.727272727273
"92","12","E1","B1 0","B1","0% Con","inc",723.916666666667
"93","12","E1","B1 0","B2","100% Con","con",1284.63636363636
"94","12","E1","B1 0","B2","100% Con","inc",1580.90909090909
"95","12","E1","B1 0","B2","0% Con","con",615.090909090909
"96","12","E1","B1 0","B2","0% Con","inc",660.818181818182
"97","15","E1","B1 0","B1","100% Con","con",505.090909090909
"98","15","E1","B1 0","B1","100% Con","inc",563.333333333333
"99","15","E1","B1 0","B1","0% Con","con",569.833333333333
"100","15","E1","B1 0","B1","0% Con","inc",522.25
"101","15","E1","B1 0","B2","100% Con","con",514.25
"102","15","E1","B1 0","B2","100% Con","inc",544.6
"103","15","E1","B1 0","B2","0% Con","con",464.181818181818
"104","15","E1","B1 0","B2","0% Con","inc",510.25
"105","16","E1","B1 0","B1","100% Con","con",640.666666666667
"106","16","E1","B1 0","B1","100% Con","inc",632.272727272727
"107","16","E1","B1 0","B1","0% Con","con",645.666666666667
"108","16","E1","B1 0","B1","0% Con","inc",632.75
"109","16","E1","B1 0","B2","100% Con","con",595.333333333333
"110","16","E1","B1 0","B2","100% Con","inc",648.363636363636
"111","16","E1","B1 0","B2","0% Con","con",636.75
"112","16","E1","B1 0","B2","0% Con","inc",614.363636363636
"113","17","E1","B1 100","B1","100% Con","con",395.727272727273
"114","17","E1","B1 100","B1","100% Con","inc",465.3
"115","17","E1","B1 100","B1","0% Con","con",348.272727272727
"116","17","E1","B1 100","B1","0% Con","inc",440.333333333333
"117","17","E1","B1 100","B2","100% Con","con",380.5
"118","17","E1","B1 100","B2","100% Con","inc",424.272727272727
"119","17","E1","B1 100","B2","0% Con","con",354.833333333333
"120","17","E1","B1 100","B2","0% Con","inc",422
"121","19","E1","B1 0","B1","100% Con","con",617.818181818182
"122","19","E1","B1 0","B1","100% Con","inc",583
"123","19","E1","B1 0","B1","0% Con","con",597.75
"124","19","E1","B1 0","B1","0% Con","inc",672.636363636364
"125","19","E1","B1 0","B2","100% Con","con",518.636363636364
"126","19","E1","B1 0","B2","100% Con","inc",616.916666666667
"127","19","E1","B1 0","B2","0% Con","con",574.166666666667
"128","19","E1","B1 0","B2","0% Con","inc",566.363636363636
"129","20","E1","B1 100","B1","100% Con","con",563.583333333333
"130","20","E1","B1 100","B1","100% Con","inc",800.416666666667
"131","20","E1","B1 100","B1","0% Con","con",627.909090909091
"132","20","E1","B1 100","B1","0% Con","inc",630.75
"133","20","E1","B1 100","B2","100% Con","con",471.333333333333
"134","20","E1","B1 100","B2","100% Con","inc",502.363636363636
"135","20","E1","B1 100","B2","0% Con","con",554.727272727273
"136","20","E1","B1 100","B2","0% Con","inc",558.2
"137","21","E1","B1 0","B1","100% Con","con",615.416666666667
"138","21","E1","B1 0","B1","100% Con","inc",711.083333333333
"139","21","E1","B1 0","B1","0% Con","con",592.090909090909
"140","21","E1","B1 0","B1","0% Con","inc",672
"141","21","E1","B1 0","B2","100% Con","con",586.181818181818
"142","21","E1","B1 0","B2","100% Con","inc",788.3
"143","21","E1","B1 0","B2","0% Con","con",581.75
"144","21","E1","B1 0","B2","0% Con","inc",623.636363636364
"145","22","E1","B1 100","B1","100% Con","con",531
"146","22","E1","B1 100","B1","100% Con","inc",604.090909090909
"147","22","E1","B1 100","B1","0% Con","con",550.916666666667
"148","22","E1","B1 100","B1","0% Con","inc",706.5
"149","22","E1","B1 100","B2","100% Con","con",585.363636363636
"150","22","E1","B1 100","B2","100% Con","inc",596.5
"151","22","E1","B1 100","B2","0% Con","con",581.833333333333
"152","22","E1","B1 100","B2","0% Con","inc",773.363636363636
"153","23","E1","B1 0","B1","100% Con","con",723
"154","23","E1","B1 0","B1","100% Con","inc",780.2
"155","23","E1","B1 0","B1","0% Con","con",628.916666666667
"156","23","E1","B1 0","B1","0% Con","inc",674.545454545455
"157","23","E1","B1 0","B2","100% Con","con",644.916666666667
"158","23","E1","B1 0","B2","100% Con","inc",711.416666666667
"159","23","E1","B1 0","B2","0% Con","con",570
"160","23","E1","B1 0","B2","0% Con","inc",743.833333333333
"161","24","E1","B1 0","B1","100% Con","con",533
"162","24","E1","B1 0","B1","100% Con","inc",620.166666666667
"163","24","E1","B1 0","B1","0% Con","con",600.5
"164","24","E1","B1 0","B1","0% Con","inc",634.083333333333
"165","24","E1","B1 0","B2","100% Con","con",575
"166","24","E1","B1 0","B2","100% Con","inc",605.7
"167","24","E1","B1 0","B2","0% Con","con",512.636363636364
"168","24","E1","B1 0","B2","0% Con","inc",543.9
"169","25","E1","B1 100","B1","100% Con","con",476.909090909091
"170","25","E1","B1 100","B1","100% Con","inc",494.727272727273
"171","25","E1","B1 100","B1","0% Con","con",474.363636363636
"172","25","E1","B1 100","B1","0% Con","inc",501.75
"173","25","E1","B1 100","B2","100% Con","con",453.916666666667
"174","25","E1","B1 100","B2","100% Con","inc",509.090909090909
"175","25","E1","B1 100","B2","0% Con","con",467.833333333333
"176","25","E1","B1 100","B2","0% Con","inc",488.181818181818
"177","26","E1","B1 100","B1","100% Con","con",399.909090909091
"178","26","E1","B1 100","B1","100% Con","inc",468.454545454545
"179","26","E1","B1 100","B1","0% Con","con",439.583333333333
"180","26","E1","B1 100","B1","0% Con","inc",543.166666666667
"181","26","E1","B1 100","B2","100% Con","con",453.75
"182","26","E1","B1 100","B2","100% Con","inc",565.333333333333
"183","26","E1","B1 100","B2","0% Con","con",488.090909090909
"184","26","E1","B1 100","B2","0% Con","inc",527.666666666667
"185","27","E1","B1 0","B1","100% Con","con",539.166666666667
"186","27","E1","B1 0","B1","100% Con","inc",552.545454545455
"187","27","E1","B1 0","B1","0% Con","con",523.9
"188","27","E1","B1 0","B1","0% Con","inc",560.9
"189","27","E1","B1 0","B2","100% Con","con",481.416666666667
"190","27","E1","B1 0","B2","100% Con","inc",571.727272727273
"191","27","E1","B1 0","B2","0% Con","con",485.454545454545
"192","27","E1","B1 0","B2","0% Con","inc",562.636363636364
"193","28","E1","B1 100","B1","100% Con","con",914.181818181818
"194","28","E1","B1 100","B1","100% Con","inc",913.454545454545
"195","28","E1","B1 100","B1","0% Con","con",1041.16666666667
"196","28","E1","B1 100","B1","0% Con","inc",815.416666666667
"197","28","E1","B1 100","B2","100% Con","con",904
"198","28","E1","B1 100","B2","100% Con","inc",864.5
"199","28","E1","B1 100","B2","0% Con","con",695.727272727273
"200","28","E1","B1 100","B2","0% Con","inc",821.25
"201","29","E1","B1 0","B1","100% Con","con",579.4
"202","29","E1","B1 0","B1","100% Con","inc",630.181818181818
"203","29","E1","B1 0","B1","0% Con","con",658.5
"204","29","E1","B1 0","B1","0% Con","inc",672
"205","29","E1","B1 0","B2","100% Con","con",547.25
"206","29","E1","B1 0","B2","100% Con","inc",655.666666666667
"207","29","E1","B1 0","B2","0% Con","con",533.75
"208","29","E1","B1 0","B2","0% Con","inc",646
"209","30","E1","B1 100","B1","100% Con","con",691.363636363636
"210","30","E1","B1 100","B1","100% Con","inc",787.333333333333
"211","30","E1","B1 100","B1","0% Con","con",709.75
"212","30","E1","B1 100","B1","0% Con","inc",722
"213","30","E1","B1 100","B2","100% Con","con",651.5
"214","30","E1","B1 100","B2","100% Con","inc",705.7
"215","30","E1","B1 100","B2","0% Con","con",673.666666666667
"216","30","E1","B1 100","B2","0% Con","inc",692.5
"217","31","E1","B1 100","B1","100% Con","con",722.818181818182
"218","31","E1","B1 100","B1","100% Con","inc",862.166666666667
"219","31","E1","B1 100","B1","0% Con","con",685.25
"220","31","E1","B1 100","B1","0% Con","inc",719.181818181818
"221","31","E1","B1 100","B2","100% Con","con",684.666666666667
"222","31","E1","B1 100","B2","100% Con","inc",820.909090909091
"223","31","E1","B1 100","B2","0% Con","con",640.181818181818
"224","31","E1","B1 100","B2","0% Con","inc",696.272727272727
"225","32","E1","B1 100","B1","100% Con","con",625.583333333333
"226","32","E1","B1 100","B1","100% Con","inc",672.363636363636
"227","32","E1","B1 100","B1","0% Con","con",660
"228","32","E1","B1 100","B1","0% Con","inc",766.666666666667
"229","32","E1","B1 100","B2","100% Con","con",724.166666666667
"230","32","E1","B1 100","B2","100% Con","inc",785.3
"231","32","E1","B1 100","B2","0% Con","con",813.666666666667
"232","32","E1","B1 100","B2","0% Con","inc",760.166666666667
"233","33","E1","B1 100","B1","100% Con","con",774.9
"234","33","E1","B1 100","B1","100% Con","inc",660.222222222222
"235","33","E1","B1 100","B1","0% Con","con",600.916666666667
"236","33","E1","B1 100","B1","0% Con","inc",659.25
"237","33","E1","B1 100","B2","100% Con","con",526.909090909091
"238","33","E1","B1 100","B2","100% Con","inc",584.090909090909
"239","33","E1","B1 100","B2","0% Con","con",593.083333333333
"240","33","E1","B1 100","B2","0% Con","inc",629.181818181818
"241","34","E1","B1 0","B1","100% Con","con",1349
"242","34","E1","B1 0","B1","100% Con","inc",1617.72727272727
"243","34","E1","B1 0","B1","0% Con","con",900.545454545455
"244","34","E1","B1 0","B1","0% Con","inc",1180.75
"245","34","E1","B1 0","B2","100% Con","con",1002.27272727273
"246","34","E1","B1 0","B2","100% Con","inc",1370
"247","34","E1","B1 0","B2","0% Con","con",870.583333333333
"248","34","E1","B1 0","B2","0% Con","inc",912.444444444444
"249","36","E1","B1 100","B1","100% Con","con",844.363636363636
"250","36","E1","B1 100","B1","100% Con","inc",1009.18181818182
"251","36","E1","B1 100","B1","0% Con","con",801.272727272727
"252","36","E1","B1 100","B1","0% Con","inc",848.6
"253","36","E1","B1 100","B2","100% Con","con",846.9
"254","36","E1","B1 100","B2","100% Con","inc",788.545454545455
"255","36","E1","B1 100","B2","0% Con","con",694.636363636364
"256","36","E1","B1 100","B2","0% Con","inc",758.363636363636
"257","37","E1","B1 0","B1","100% Con","con",438.272727272727
"258","37","E1","B1 0","B1","100% Con","inc",496.833333333333
"259","37","E1","B1 0","B1","0% Con","con",436.181818181818
"260","37","E1","B1 0","B1","0% Con","inc",496.25
"261","37","E1","B1 0","B2","100% Con","con",447.363636363636
"262","37","E1","B1 0","B2","100% Con","inc",543.5
"263","37","E1","B1 0","B2","0% Con","con",421.916666666667
"264","37","E1","B1 0","B2","0% Con","inc",534.166666666667
"265","38","E1","B1 0","B1","100% Con","con",478.727272727273
"266","38","E1","B1 0","B1","100% Con","inc",554.181818181818
"267","38","E1","B1 0","B1","0% Con","con",846
"268","38","E1","B1 0","B1","0% Con","inc",662.272727272727
"269","38","E1","B1 0","B2","100% Con","con",468
"270","38","E1","B1 0","B2","100% Con","inc",529.3
"271","38","E1","B1 0","B2","0% Con","con",636.916666666667
